X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
25.441298,93.18344,60.81261,135.062,11.316348,115.81317,13.892688,34.485565,54.751972,1102.3439,694.75745,332.25858
23.517443,85.85653,55.882767,124.953514,10.544028,106.75232,12.705762,31.84298,50.471825,1014.73883,638.59955,304.39346
21.855776,79.95943,52.152615,116.127266,9.735594,99.39099,11.863191,29.618708,47.042828,945.5672,595.6523,284.63007
20.659525,75.47173,49.184654,109.7993,9.236374,93.8386,11.165955,27.989027,44.414303,892.31323,561.78925,268.10635
23.092228,84.46651,55.136253,122.435875,10.253208,104.99357,12.609388,31.258793,49.605633,999.35626,629.8364,301.18713
22.858658,83.46965,54.357586,121.46324,10.237315,103.76663,12.357574,30.966076,49.068996,986.7111,621.0525,296.16733
20.69979,75.6069,49.29596,109.88075,9.223818,94.01239,11.221288,28.017736,44.45877,894.1133,563.0727,268.84546
24.25931,88.63101,57.68678,129.05362,10.899005,110.16886,13.0834255,32.886005,52.13909,1047.3174,659.0606,314.17825
27.33283,100.06217,65.34465,144.84288,12.127009,124.39025,14.994537,37.01459,58.709923,1184.4486,746.7334,357.25082
26.48743,96.86518,63.114147,140.72083,11.822544,120.394135,14.366997,35.86859,56.96168,1145.1185,721.11707,344.28677
24.39909,89.269424,58.228546,129.54884,10.872943,110.98314,13.281418,33.053974,52.471973,1055.8551,665.19403,317.86816
25.749077,94.07897,61.19756,136.97295,11.554994,116.93951,13.893386,34.889744,55.334774,1111.6458,699.5033,333.3785
21.729475,79.34245,51.658936,115.530014,9.745255,98.64385,11.723473,29.44329,46.67678,937.8029,590.18616,281.37946
22.008352,80.46693,52.514534,116.71476,9.770334,100.05613,11.993495,29.780523,47.28314,952.014,599.8903,286.76373
33.195683,121.76101,79.450264,176.24939,14.782746,151.28377,18.19452,45.036587,71.486755,1440.5164,908.1533,434.4816
22.751486,83.091324,54.161476,120.83497,10.187696,103.27264,12.327167,30.834589,48.834827,982.68304,618.7306,295.29315
25.135572,91.99229,60.057247,133.28734,11.1633625,114.33392,13.7462845,34.04091,54.010094,1088.5311,686.113,328.17072
26.071617,95.49856,62.343594,138.32304,11.5813465,118.67642,14.2699375,35.333954,56.073162,1129.9784,712.3152,340.77536
26.959087,98.70345,64.41223,142.98366,11.9770565,122.678696,14.744412,36.50591,57.949062,1167.6781,735.9635,351.95572
24.857908,91.010086,59.41785,131.86917,11.044747,113.146255,13.593383,33.682194,53.453194,1077.0127,678.85986,324.68677
33.639694,123.37064,80.55766,178.43387,14.949803,153.26886,18.501366,45.626377,72.35878,1460.175,920.77106,440.729
