altitude,precipitation (yearly value averaged over 1961-1990)
205.0,828.3
46.0,791.5
794.0,1057.8
325.0,803.0
500.0,1252.2
215.0,585.6
383.0,701.0
54.0,532.1
630.0,834.2
413.0,721.9
481.0,735.7
42.0,520.8
242.0,1028.4
164.0,417.1
462.0,749.7
560.0,902.0
4.0,823.6
622.0,1523.7
239.0,634.0
40.0,685.8
330.0,709.7
789.0,1402.6
450.0,1101.6
40.0,502.8
252.0,803.8
445.0,1004.4
60.0,564.3
58.0,589.2
36.0,555.8
49.0,583.8
84.0,469.2
120.0,706.0
363.0,876.0
290.0,901.7
412.0,965.2
80.0,515.9
21.0,752.5
45.0,662.7
15.0,535.8
62.0,680.6
875.0,888.9
5.0,784.4
373.0,625.5
1.0,709.7
9.0,856.5
607.0,1263.8
88.0,618.4
5.0,693.8
7.0,741.4
1142.0,1814.1
549.0,1258.3
310.0,908.8
340.0,804.1
77.0,850.0
68.0,644.8
39.0,656.2
396.0,752.4
418.0,700.7
566.0,1326.0
69.0,563.0
5.0,818.5
133.0,673.5
480.0,814.0
696.0,1503.5
97.0,559.8
677.0,819.4
227.0,666.7
192.0,1097.9
692.0,756.7
37.0,772.9
37.0,756.8
123.0,644.2
146.0,507.5
460.0,835.8
85.0,723.3
12.0,767.8
0.0,805.1
144.0,1200.2
705.0,942.3
600.0,1403.5
443.6,803.7
18.0,819.9
316.0,500.4
408.0,1096.7
270.0,701.4
234.0,680.6
150.0,931.4
1486.0,1909.2
1213.0,1117.7
45.0,918.9
112.0,657.8
125.0,648.6
48.0,527.4
481.0,962.6
2.0,809.2
797.0,1680.7
928.0,1190.4
523.0,701.1
394.0,1009.6
8.0,756.3
255.0,664.7
47.0,562.8
719.0,1363.5
118.0,548.1
35.0,523.4
311.0,591.5
90.0,666.6
186.0,652.6
2.0,791.0
238.0,656.7
173.0,644.9
58.0,566.3
27.0,703.0
6.0,565.0
40.0,603.0
42.0,713.9
1436.0,1443.6
55.0,482.7
300.0,1052.5
567.0,1280.7
93.0,450.8
11.0,770.3
22.0,783.6
