altitude,sunshine (yearly value averaged over 1961-1990)
205.0,1552.0
46.0,1443.3
794.0,1096.5
325.0,1571.7
500.0,1368.0
215.0,1594.0
383.0,1590.5
54.0,1702.3
630.0,1432.6
413.0,1627.0
481.0,1642.1
42.0,1805.3
242.0,1432.1
164.0,1459.1
462.0,1691.8
560.0,1651.2
4.0,1455.5
622.0,1304.9
239.0,1563.3
40.0,1326.0
330.0,1491.6
789.0,1390.7
450.0,1527.8
40.0,1479.0
252.0,1668.4
445.0,1277.2
60.0,1594.8
58.0,1624.9
36.0,1623.2
49.0,1673.5
84.0,1498.6
120.0,1358.5
363.0,1688.9
290.0,1412.9
412.0,1518.8
80.0,1483.6
21.0,1514.6
45.0,1615.3
15.0,1693.5
62.0,1461.3
875.0,1503.5
5.0,1661.5
373.0,1639.5
1.0,1426.5
9.0,1472.3
607.0,1474.2
88.0,1514.3
5.0,1482.9
7.0,1480.2
1142.0,1353.1
549.0,1633.3
310.0,1492.1
340.0,1596.3
77.0,1420.6
68.0,1391.5
39.0,1470.6
396.0,1660.4
418.0,1532.6
566.0,1337.9
69.0,1679.0
5.0,1635.8
133.0,1685.8
480.0,1633.6
696.0,1540.9
97.0,1626.0
677.0,1697.0
227.0,1581.4
192.0,1358.8
692.0,1641.9
37.0,1504.1
37.0,1473.4
123.0,1317.5
146.0,1504.0
460.0,1393.4
85.0,1495.7
12.0,1547.4
0.0,1512.0
144.0,1367.1
705.0,1671.8
600.0,1410.4
443.6,1659.9
18.0,1585.4
316.0,1588.3
408.0,1554.8
270.0,1548.5
234.0,1668.2
150.0,1453.7
1486.0,1641.2
1213.0,1515.6
45.0,1482.9
112.0,1586.1
125.0,1515.3
48.0,1689.1
481.0,1731.1
2.0,1241.5
797.0,1721.4
928.0,1615.4
523.0,1521.5
394.0,1691.0
8.0,1247.5
255.0,1368.0
47.0,1517.1
719.0,1668.2
118.0,1587.0
35.0,1618.7
311.0,1601.9
90.0,1534.1
186.0,1504.2
2.0,1564.3
238.0,1649.1
173.0,1421.8
58.0,1610.7
27.0,1595.8
6.0,1739.0
40.0,1606.6
42.0,1435.4
1436.0,1676.8
55.0,1704.0
300.0,1291.4
567.0,1328.9
93.0,1403.7
11.0,1557.0
22.0,1486.8
18.0,1454.0
59.0,1501.4
269.0,1358.8
404.0,1510.3
111.0,1550.9
500.0,1355.6
496.0,1394.7
4.0,1682.8
140.0,1372.6
2.0,1540.0
77.0,1471.1
350.0,1313.3
530.0,1428.9
272.0,1385.4
1053.0,1603.7
883.0,1601.7
1008.0,1765.3
567.0,1541.8
242.0,1254.0
977.0,1820.3
17.0,1573.8
128.0,1273.2
440.0,1335.1
