horsepower,mpg
130.0,18.0
165.0,15.0
150.0,18.0
150.0,16.0
140.0,17.0
198.0,15.0
220.0,14.0
215.0,14.0
225.0,14.0
190.0,15.0
170.0,15.0
160.0,14.0
150.0,15.0
225.0,14.0
95.0,24.0
95.0,22.0
97.0,18.0
85.0,21.0
88.0,27.0
46.0,26.0
87.0,25.0
90.0,24.0
95.0,25.0
113.0,26.0
90.0,21.0
215.0,10.0
200.0,10.0
210.0,11.0
193.0,9.0
88.0,27.0
90.0,28.0
95.0,25.0
100.0,19.0
105.0,16.0
100.0,17.0
88.0,19.0
100.0,18.0
165.0,14.0
175.0,14.0
153.0,14.0
150.0,14.0
180.0,12.0
170.0,13.0
175.0,13.0
110.0,18.0
72.0,22.0
100.0,19.0
88.0,18.0
86.0,23.0
90.0,28.0
70.0,30.0
76.0,30.0
65.0,31.0
69.0,35.0
60.0,27.0
70.0,26.0
95.0,24.0
80.0,25.0
54.0,23.0
90.0,20.0
86.0,21.0
165.0,13.0
175.0,14.0
150.0,15.0
153.0,14.0
150.0,17.0
208.0,11.0
155.0,13.0
160.0,12.0
190.0,13.0
97.0,19.0
150.0,15.0
130.0,13.0
140.0,13.0
150.0,14.0
112.0,18.0
76.0,22.0
87.0,21.0
69.0,26.0
86.0,22.0
92.0,28.0
97.0,23.0
80.0,28.0
88.0,27.0
175.0,13.0
150.0,14.0
145.0,13.0
137.0,14.0
150.0,15.0
198.0,12.0
150.0,13.0
158.0,13.0
150.0,14.0
215.0,13.0
225.0,12.0
175.0,13.0
105.0,18.0
100.0,16.0
100.0,18.0
88.0,18.0
95.0,23.0
46.0,26.0
150.0,11.0
167.0,12.0
170.0,13.0
180.0,12.0
100.0,18.0
88.0,20.0
72.0,21.0
94.0,22.0
90.0,18.0
85.0,19.0
107.0,21.0
90.0,26.0
145.0,15.0
230.0,16.0
49.0,29.0
75.0,24.0
91.0,20.0
112.0,19.0
150.0,15.0
110.0,24.0
122.0,20.0
180.0,11.0
95.0,20.0
100.0,19.0
100.0,15.0
67.0,31.0
80.0,26.0
65.0,32.0
75.0,25.0
100.0,16.0
110.0,16.0
105.0,18.0
140.0,16.0
150.0,13.0
150.0,14.0
140.0,14.0
150.0,14.0
83.0,29.0
67.0,26.0
78.0,26.0
52.0,31.0
61.0,32.0
75.0,28.0
75.0,24.0
75.0,26.0
97.0,24.0
93.0,26.0
67.0,31.0
95.0,19.0
105.0,18.0
72.0,15.0
72.0,15.0
170.0,16.0
145.0,15.0
150.0,16.0
148.0,14.0
110.0,17.0
105.0,16.0
110.0,15.0
95.0,18.0
110.0,21.0
110.0,20.0
129.0,13.0
75.0,29.0
83.0,23.0
100.0,20.0
78.0,23.0
96.0,24.0
71.0,25.0
97.0,24.0
97.0,18.0
70.0,29.0
90.0,19.0
95.0,23.0
88.0,23.0
98.0,22.0
115.0,25.0
53.0,33.0
86.0,28.0
81.0,25.0
92.0,25.0
79.0,26.0
83.0,27.0
140.0,17.5
150.0,16.0
120.0,15.5
152.0,14.5
100.0,22.0
105.0,22.0
81.0,24.0
90.0,22.5
52.0,29.0
60.0,24.5
70.0,29.0
53.0,33.0
100.0,20.0
78.0,18.0
110.0,18.5
95.0,17.5
71.0,29.5
70.0,32.0
75.0,28.0
72.0,26.5
102.0,20.0
150.0,13.0
88.0,19.0
108.0,19.0
120.0,16.5
180.0,16.5
145.0,13.0
130.0,13.0
150.0,13.0
68.0,31.5
80.0,30.0
58.0,36.0
96.0,25.5
70.0,33.5
145.0,17.5
110.0,17.0
145.0,15.5
130.0,15.0
110.0,17.5
105.0,20.5
100.0,19.0
98.0,18.5
180.0,16.0
170.0,15.5
190.0,15.5
149.0,16.0
78.0,29.0
88.0,24.5
75.0,26.0
89.0,25.5
63.0,30.5
83.0,33.5
67.0,30.0
78.0,30.5
97.0,22.0
110.0,21.5
110.0,21.5
48.0,43.1
66.0,36.1
52.0,32.8
70.0,39.4
60.0,36.1
110.0,19.9
140.0,19.4
139.0,20.2
105.0,19.2
95.0,20.5
85.0,20.2
88.0,25.1
100.0,20.5
90.0,19.4
105.0,20.6
85.0,20.8
110.0,18.6
120.0,18.1
145.0,19.2
165.0,17.7
139.0,18.1
140.0,17.5
68.0,30.0
95.0,27.5
97.0,27.2
75.0,30.9
95.0,21.1
105.0,23.2
85.0,23.8
97.0,23.9
103.0,20.3
125.0,17.0
115.0,21.6
133.0,16.2
71.0,31.5
68.0,29.5
115.0,21.5
85.0,19.8
88.0,22.3
90.0,20.2
110.0,20.6
130.0,17.0
129.0,17.6
138.0,16.5
135.0,18.2
155.0,16.9
142.0,15.5
125.0,19.2
150.0,18.5
71.0,31.9
65.0,34.1
80.0,35.7
80.0,27.4
77.0,25.4
125.0,23.0
71.0,27.2
90.0,23.9
70.0,34.2
70.0,34.5
65.0,31.8
69.0,37.3
90.0,28.4
115.0,28.8
115.0,26.8
90.0,33.5
76.0,41.5
60.0,38.1
70.0,32.1
65.0,37.2
90.0,28.0
88.0,26.4
90.0,24.3
90.0,19.1
78.0,34.3
90.0,29.8
75.0,31.3
92.0,37.0
75.0,32.2
65.0,46.6
105.0,27.9
65.0,40.8
48.0,44.3
48.0,43.4
67.0,36.4
67.0,30.0
67.0,44.6
67.0,33.8
62.0,29.8
132.0,32.7
100.0,23.7
88.0,35.0
72.0,32.4
84.0,27.2
84.0,26.6
92.0,25.8
110.0,23.5
84.0,30.0
58.0,39.1
64.0,39.0
60.0,35.1
67.0,32.3
65.0,37.0
62.0,37.7
68.0,34.1
63.0,34.7
65.0,34.4
65.0,29.9
74.0,33.0
75.0,33.7
75.0,32.4
100.0,32.9
74.0,31.6
80.0,28.1
76.0,30.7
116.0,25.4
120.0,24.2
110.0,22.4
105.0,26.6
88.0,20.2
85.0,17.6
88.0,28.0
88.0,27.0
88.0,34.0
85.0,31.0
84.0,29.0
90.0,27.0
92.0,24.0
74.0,36.0
68.0,37.0
68.0,31.0
63.0,38.0
70.0,36.0
88.0,36.0
75.0,36.0
70.0,34.0
67.0,38.0
67.0,32.0
67.0,38.0
110.0,25.0
85.0,38.0
92.0,26.0
112.0,22.0
96.0,32.0
84.0,36.0
90.0,27.0
86.0,27.0
52.0,44.0
84.0,32.0
79.0,28.0
82.0,31.0
