weight,mpg
3504.0,18.0
3693.0,15.0
3436.0,18.0
3433.0,16.0
3449.0,17.0
4341.0,15.0
4354.0,14.0
4312.0,14.0
4425.0,14.0
3850.0,15.0
3563.0,15.0
3609.0,14.0
3761.0,15.0
3086.0,14.0
2372.0,24.0
2833.0,22.0
2774.0,18.0
2587.0,21.0
2130.0,27.0
1835.0,26.0
2672.0,25.0
2430.0,24.0
2375.0,25.0
2234.0,26.0
2648.0,21.0
4615.0,10.0
4376.0,10.0
4382.0,11.0
4732.0,9.0
2130.0,27.0
2264.0,28.0
2228.0,25.0
2634.0,19.0
3439.0,16.0
3329.0,17.0
3302.0,19.0
3288.0,18.0
4209.0,14.0
4464.0,14.0
4154.0,14.0
4096.0,14.0
4955.0,12.0
4746.0,13.0
5140.0,13.0
2962.0,18.0
2408.0,22.0
3282.0,19.0
3139.0,18.0
2220.0,23.0
2123.0,28.0
2074.0,30.0
2065.0,30.0
1773.0,31.0
1613.0,35.0
1834.0,27.0
1955.0,26.0
2278.0,24.0
2126.0,25.0
2254.0,23.0
2408.0,20.0
2226.0,21.0
4274.0,13.0
4385.0,14.0
4135.0,15.0
4129.0,14.0
3672.0,17.0
4633.0,11.0
4502.0,13.0
4456.0,12.0
4422.0,13.0
2330.0,19.0
3892.0,15.0
4098.0,13.0
4294.0,13.0
4077.0,14.0
2933.0,18.0
2511.0,22.0
2979.0,21.0
2189.0,26.0
2395.0,22.0
2288.0,28.0
2506.0,23.0
2164.0,28.0
2100.0,27.0
4100.0,13.0
3672.0,14.0
3988.0,13.0
4042.0,14.0
3777.0,15.0
4952.0,12.0
4464.0,13.0
4363.0,13.0
4237.0,14.0
4735.0,13.0
4951.0,12.0
3821.0,13.0
3121.0,18.0
3278.0,16.0
2945.0,18.0
3021.0,18.0
2904.0,23.0
1950.0,26.0
4997.0,11.0
4906.0,12.0
4654.0,13.0
4499.0,12.0
2789.0,18.0
2279.0,20.0
2401.0,21.0
2379.0,22.0
2124.0,18.0
2310.0,19.0
2472.0,21.0
2265.0,26.0
4082.0,15.0
4278.0,16.0
1867.0,29.0
2158.0,24.0
2582.0,20.0
2868.0,19.0
3399.0,15.0
2660.0,24.0
2807.0,20.0
3664.0,11.0
3102.0,20.0
2901.0,19.0
3336.0,15.0
1950.0,31.0
2451.0,26.0
1836.0,32.0
2542.0,25.0
3781.0,16.0
3632.0,16.0
3613.0,18.0
4141.0,16.0
4699.0,13.0
4457.0,14.0
4638.0,14.0
4257.0,14.0
2219.0,29.0
1963.0,26.0
2300.0,26.0
1649.0,31.0
2003.0,32.0
2125.0,28.0
2108.0,24.0
2246.0,26.0
2489.0,24.0
2391.0,26.0
2000.0,31.0
3264.0,19.0
3459.0,18.0
3432.0,15.0
3158.0,15.0
4668.0,16.0
4440.0,15.0
4498.0,16.0
4657.0,14.0
3907.0,17.0
3897.0,16.0
3730.0,15.0
3785.0,18.0
3039.0,21.0
3221.0,20.0
3169.0,13.0
2171.0,29.0
2639.0,23.0
2914.0,20.0
2592.0,23.0
2702.0,24.0
2223.0,25.0
2545.0,24.0
2984.0,18.0
1937.0,29.0
3211.0,19.0
2694.0,23.0
2957.0,23.0
2945.0,22.0
2671.0,25.0
1795.0,33.0
2464.0,28.0
2220.0,25.0
2572.0,25.0
2255.0,26.0
2202.0,27.0
4215.0,17.5
4190.0,16.0
3962.0,15.5
4215.0,14.5
3233.0,22.0
3353.0,22.0
3012.0,24.0
3085.0,22.5
2035.0,29.0
2164.0,24.5
1937.0,29.0
1795.0,33.0
3651.0,20.0
3574.0,18.0
3645.0,18.5
3193.0,17.5
1825.0,29.5
1990.0,32.0
2155.0,28.0
2565.0,26.5
3150.0,20.0
3940.0,13.0
3270.0,19.0
2930.0,19.0
3820.0,16.5
4380.0,16.5
4055.0,13.0
3870.0,13.0
3755.0,13.0
2045.0,31.5
2155.0,30.0
1825.0,36.0
2300.0,25.5
1945.0,33.5
3880.0,17.5
4060.0,17.0
4140.0,15.5
4295.0,15.0
3520.0,17.5
3425.0,20.5
3630.0,19.0
3525.0,18.5
4220.0,16.0
4165.0,15.5
4325.0,15.5
4335.0,16.0
1940.0,29.0
2740.0,24.5
2265.0,26.0
2755.0,25.5
2051.0,30.5
2075.0,33.5
1985.0,30.0
2190.0,30.5
2815.0,22.0
2600.0,21.5
2720.0,21.5
1985.0,43.1
1800.0,36.1
1985.0,32.8
2070.0,39.4
1800.0,36.1
3365.0,19.9
3735.0,19.4
3570.0,20.2
3535.0,19.2
3155.0,20.5
2965.0,20.2
2720.0,25.1
3430.0,20.5
3210.0,19.4
3380.0,20.6
3070.0,20.8
3620.0,18.6
3410.0,18.1
3425.0,19.2
3445.0,17.7
3205.0,18.1
4080.0,17.5
2155.0,30.0
2560.0,27.5
2300.0,27.2
2230.0,30.9
2515.0,21.1
2745.0,23.2
2855.0,23.8
2405.0,23.9
2830.0,20.3
3140.0,17.0
2795.0,21.6
3410.0,16.2
1990.0,31.5
2135.0,29.5
3245.0,21.5
2990.0,19.8
2890.0,22.3
3265.0,20.2
3360.0,20.6
3840.0,17.0
3725.0,17.6
3955.0,16.5
3830.0,18.2
4360.0,16.9
4054.0,15.5
3605.0,19.2
3940.0,18.5
1925.0,31.9
1975.0,34.1
1915.0,35.7
2670.0,27.4
3530.0,25.4
3900.0,23.0
3190.0,27.2
3420.0,23.9
2200.0,34.2
2150.0,34.5
2020.0,31.8
2130.0,37.3
2670.0,28.4
2595.0,28.8
2700.0,26.8
2556.0,33.5
2144.0,41.5
