horsepower,acceleration
130.0,12.0
165.0,11.5
150.0,11.0
150.0,12.0
140.0,10.5
198.0,10.0
220.0,9.0
215.0,8.5
225.0,10.0
190.0,8.5
170.0,10.0
160.0,8.0
150.0,9.5
225.0,10.0
95.0,15.0
95.0,15.5
97.0,15.5
85.0,16.0
88.0,14.5
46.0,20.5
87.0,17.5
90.0,14.5
95.0,17.5
113.0,12.5
90.0,15.0
215.0,14.0
200.0,15.0
210.0,13.5
193.0,18.5
88.0,14.5
90.0,15.5
95.0,14.0
100.0,13.0
105.0,15.5
100.0,15.5
88.0,15.5
100.0,15.5
165.0,12.0
175.0,11.5
153.0,13.5
150.0,13.0
180.0,11.5
170.0,12.0
175.0,12.0
110.0,13.5
72.0,19.0
100.0,15.0
88.0,14.5
86.0,14.0
90.0,14.0
70.0,19.5
76.0,14.5
65.0,19.0
69.0,18.0
60.0,19.0
70.0,20.5
95.0,15.5
80.0,17.0
54.0,23.5
90.0,19.5
86.0,16.5
165.0,12.0
175.0,12.0
150.0,13.5
153.0,13.0
150.0,11.5
208.0,11.0
155.0,13.5
160.0,13.5
190.0,12.5
97.0,13.5
150.0,12.5
130.0,14.0
140.0,16.0
150.0,14.0
112.0,14.5
76.0,18.0
87.0,19.5
69.0,18.0
86.0,16.0
92.0,17.0
97.0,14.5
80.0,15.0
88.0,16.5
175.0,13.0
150.0,11.5
145.0,13.0
137.0,14.5
150.0,12.5
198.0,11.5
150.0,12.0
158.0,13.0
150.0,14.5
215.0,11.0
225.0,11.0
175.0,11.0
105.0,16.5
100.0,18.0
100.0,16.0
88.0,16.5
95.0,16.0
46.0,21.0
150.0,14.0
167.0,12.5
170.0,13.0
180.0,12.5
100.0,15.0
88.0,19.0
72.0,19.5
94.0,16.5
90.0,13.5
85.0,18.5
107.0,14.0
90.0,15.5
145.0,13.0
230.0,9.5
49.0,19.5
75.0,15.5
91.0,14.0
112.0,15.5
150.0,11.0
110.0,14.0
122.0,13.5
180.0,11.0
95.0,16.5
100.0,16.0
100.0,17.0
67.0,19.0
80.0,16.5
65.0,21.0
75.0,17.0
100.0,17.0
110.0,18.0
105.0,16.5
140.0,14.0
150.0,14.5
150.0,13.5
140.0,16.0
150.0,15.5
83.0,16.5
67.0,15.5
78.0,14.5
52.0,16.5
61.0,19.0
75.0,14.5
75.0,15.5
75.0,14.0
97.0,15.0
93.0,15.5
67.0,16.0
95.0,16.0
105.0,16.0
72.0,21.0
72.0,19.5
170.0,11.5
145.0,14.0
150.0,14.5
148.0,13.5
110.0,21.0
105.0,18.5
110.0,19.0
95.0,19.0
110.0,15.0
110.0,13.5
129.0,12.0
75.0,16.0
83.0,17.0
100.0,16.0
78.0,18.5
96.0,13.5
71.0,16.5
97.0,17.0
97.0,14.5
70.0,14.0
90.0,17.0
95.0,15.0
88.0,17.0
98.0,14.5
115.0,13.5
53.0,17.5
86.0,15.5
81.0,16.9
92.0,14.9
79.0,17.7
83.0,15.3
140.0,13.0
150.0,13.0
120.0,13.9
152.0,12.8
100.0,15.4
105.0,14.5
81.0,17.6
90.0,17.6
52.0,22.2
