stock returns of Hang Seng Bank (0011.HK) ,stock return of HSBC Hldgs (0005.HK) 
-0.054848342,-0.051953013
-0.061190555,-0.034753702
-0.009174312,-0.004936033
-0.021548822,-0.020044543
-0.025464556,-0.017768595
-0.006406926,-0.002615884
-0.031861472,-0.028682906
-0.013021292,-0.010843107
-0.016346837,-0.024230517
-0.016242938,-0.026391709
-0.003398319,-0.005501761
-0.006460876,-0.002655455
-0.03992052,-0.024739294
-0.010530347,-0.011044177
-0.003434459,-0.030510376
-0.003586936,-0.018830957
-0.007010231,-0.019192367
-0.01049418,-0.008370094
-0.010313145,-0.008300617
-0.013830997,-0.005655469
-0.021478328,-0.013951906
-0.010875787,-0.028495616
-0.025655864,-0.005818786
-0.028897338,-0.016647919
-0.003719655,-0.01132464
-0.007359879,-0.015854312
-0.025285171,-0.013497333
-0.003665124,-0.03849149
-0.003705871,-0.008701706
-0.010680157,-0.017221317
-0.010384405,-0.008701706
-0.010493373,-0.002808989
-0.021134594,-0.002942908
-0.028977273,-0.017473436
-0.014823484,-0.003004086
-0.025018671,-0.008761544
-0.029107622,-0.01779742
-0.022317933,-0.008918886
-0.014823484,-0.011966638
-0.00332284,-0.021437852
-0.006667837,-0.005421553
-0.003356298,-0.008232284
-0.033853244,-0.019405496
-0.003356298,-0.002776814
-0.003378979,-0.005558076
-0.021472393,-0.020349435
-0.02083007,-0.014269186
-0.024472169,-0.004890454
-0.009345794,-0.004816198
-0.006116208,-0.009544929
-0.023664954,-0.013873266
-0.008845509,-0.018048557
-0.01148579,-0.008741415
-0.014555176,-0.017429577
-0.005809623,-0.021556991
-0.031659549,-0.021942735
-0.020681265,-0.004559964
-0.024447579,-0.049612403
-0.009034268,-0.004775093
-0.003143666,-0.028404184
-0.005742895,-0.013437443
-0.028880332,-0.009110988
-0.011895684,-0.04132999
-0.005809623,-0.019085449
-0.022710729,-0.023370234
-0.005372641,-0.031554948
-0.029639889,-0.004708541
-0.0052589,-0.004344804
-0.018571235,-0.008552976
-0.013884913,-0.034771127
-0.032235845,-0.008741415
-0.005372641,-0.008753316
-0.029639889,-0.021942735
-0.023857937,-0.022731456
-0.016247743,-0.027968735
-0.007596241,-0.046984512
-0.004898267,-0.017649167
-0.019033675,-0.021556991
-0.014552239,-0.01320132
-0.032686782,-0.00837249
-0.018854242,-0.008552976
-0.004874391,-0.017429577
-0.009701493,-0.004165972
-0.019497563,-0.004151135
-0.009796534,-0.004116609
-0.009893455,-0.008351611
-0.004971319,-0.008386988
-0.004898267,-0.004239855
-0.066515209,-0.077250608
-0.021092482,-0.023260194
-0.013535912,-0.009544929
-0.018669937,-0.023814115
-0.008471046,-0.03417284
-0.039270297,-0.026815764
-0.005478702,-0.008209452
-0.008195602,-0.010923535
-0.021750878,-0.024537852
-0.005219888,-0.022643819
-0.018269607,-0.005048944
-0.002739351,-0.039591059
-0.013734377,-0.01554999
-0.0027697,-0.002589064
-0.022173254,-0.022701708
-0.008471046,-0.020195838
-0.011204482,-0.007567236
-0.008498584,-0.007624936
-0.002857143,-0.010279306
-0.017335244,-0.01004716
-0.008747631,-0.023094449
-0.011913517,-0.0156896
-0.026942542,-0.010554658
-0.021177531,-0.018632202
-0.012126724,-0.0027068
-0.00920669,-0.008033873
-0.01851002,-0.010755048
-0.002950723,-0.016197877
-0.020864161,-0.016464568
-0.002907399,-0.005652977
-0.002915877,-0.002884172
-0.002898971,-0.002884172
-0.008621928,-0.019036092
-0.008435374,-0.013461749
-0.008555264,-0.024036379
-0.017110528,-0.013461749
-0.031728204,-0.005546927
-0.003044802,-0.035809906
-0.036390315,-0.08573412
-0.021927821,-0.012401924
-0.022065584,-0.059659812
-0.022133415,-0.044905905
-0.048569632,-0.080581601
-0.005789325,-0.023463554
-0.023710303,-0.002942908
-0.009125699,-0.014521842
-0.038857474,-0.028824834
-0.01236989,-0.014780101
-0.003207576,-0.015123796
-0.021521447,-0.011388473
-0.015732397,-0.020130323
-0.003177485,-0.011104879
-0.015300059,-0.005501761
-0.014758561,-0.013283342
-0.005756002,-0.010200927
-0.017357223,-0.02604661
-0.03719123,-0.042767432
-0.008563807,-0.005406598
-0.002973662,-0.005546927
-0.002767783,-0.026321398
-0.011518179,-0.010835066
-0.005756002,-0.016375304
-0.011518179,-0.013991582
-0.005861828,-0.002875877
-0.00293953,-0.002900569
-0.01730635,-0.019565465
-0.003,-0.01142132
-0.014758561,-0.017370892
-0.011251372,-0.011147765
-0.002914238,-0.011388473
-0.019928038,-0.011553273
-0.005789325,-0.00283353
-0.014417693,-0.008701706
-0.008482693,-0.008165067
-0.016928978,-0.011073826
-0.011403273,-0.005558076
-0.025769023,-0.011136108
-0.002908185,-0.005573882
-0.011805556,-0.005605125
-0.011946592,-0.002753241
-0.005938914,-0.0084177
-0.022933912,-0.008187652
-0.002672436,-0.007803438
-0.005486793,-0.010521841
-0.024177215,-0.012804497
-0.005463059,-0.010358899
-0.00841773,-0.005272593
-0.005586592,-0.018149392
-0.019855111,-0.002664109
-0.005699552,-0.007803438
-0.008451838,-0.01303933
-0.005715841,-0.002699493
-0.008759923,-0.010718926
-0.002899751,-0.024296815
-0.011771223,-0.011104879
-0.005972222,-0.008300617
-0.011841739,-0.016694867
-0.002960665,-0.005558076
-0.014988688,-0.01973309
-0.002969457,-0.008347434
-0.002883031,-0.010843107
-0.020377255,-0.022147651
-0.008995081,-0.008537148
-0.00293419,-0.005605125
-0.006025785,-0.017140228
-0.017777778,-0.037139882
-0.002969457,-0.003004086
-0.011567774,-0.01132464
-0.020377255,-0.022793012
-0.008634647,-0.011292346
-0.005571031,-0.013571665
-0.022748314,-0.01929942
-0.01184318,-0.005558076
-0.008927345,-0.008464882
-0.003048781,-0.014305491
-0.002901755,-0.00283353
-0.003048781,-0.005919962
-0.014838007,-0.028495616
-0.017541492,-0.022972503
-0.003021563,-0.005818786
-0.017963244,-0.018050982
-0.012093411,-0.027242606
-0.002954833,-0.015421264
-0.002954833,-0.018729436
-0.008901671,-0.003037206
-0.014531755,-0.005669328
-0.002994827,-0.011553273
-0.00882313,-0.005785124
-0.011570688,-0.002730065
-0.002825619,-0.005703205
-0.008770746,-0.022599518
-0.00872015,-0.01142132
-0.005735628,-0.011073826
-0.002951436,-0.008370094
-0.011637239,-0.016285211
-0.002977399,-0.002707276
-0.00583684,-0.008370094
-0.00882313,-0.005573882
-0.008848353,-0.011292346
-0.003003823,-0.008561842
-0.002875924,-0.002917493
-0.003021563,-0.005735019
-0.011985122,-0.011653914
-0.005768715,-0.005703205
-0.005768715,-0.011292346
-0.011739306,-0.005652977
-0.002875924,-0.008610659
-0.002875924,-0.008736718
-0.008927345,-0.017627442
-0.003048781,-0.011917792
-0.009007761,-0.005994617
-0.003076493,-0.003076923
-0.01785469,-0.005994617
-0.005995538,-0.003058478
-0.005888798,-0.008958433
-0.003030721,-0.003031038
-0.014488865,-0.005972289
-0.00882313,-0.00894476
-0.002875924,-0.003049152
-0.005888798,-0.012184615
-0.032441971,-0.006098305
-0.003067912,-0.009030704
-0.006014827,-0.005953828
-0.01533915,-0.01210121
-0.015482955,-0.015342737
-0.006268699,-0.003001201
-0.012473118,-0.009030704
-0.009436702,-0.00291616
-0.028819291,-0.005953828
-0.00655347,-0.009003601
-0.003309266,-0.01192053
-0.006489587,-0.012064343
-0.002982955,-0.005552408
-0.009204191,-0.011204482
-0.005919548,-0.002599023
-0.00296856,-0.005120702
-0.014751658,-0.018277311
-0.005906593,-0.002674941
-0.003039934,-0.010592767
-0.006098406,-0.005407159
-0.003003823,-0.007917826
-0.006025746,-0.00781415
-0.006025746,-0.002660707
-0.008984481,-0.010318949
-0.005819461,-0.012924745
-0.00293031,-0.007481549
-0.002855369,-0.00496771
-0.005710739,-0.004943154
-0.005618679,-0.014803775
-0.00255695,-0.00955414
-0.005107832,-0.004625775
-0.035402146,-0.035031847
-0.005025126,-0.025169492
-0.002544529,-0.012787504
-0.002518892,-0.004152542
-0.020092227,-0.008424815
-0.015118075,-0.004291109
-0.005154062,-0.008533012
-0.009853272,-0.004250616
-0.009843159,-0.008452147
-0.014960715,-0.016705843
-0.002513112,-0.004268761
-0.004951028,-0.004162851
-0.009615385,-0.003997761
-0.009615385,-0.012104964
-0.004854369,-0.008223684
-0.018789356,-0.016217544
-0.019058411,-0.01641791
-0.013509545,-0.007822377
-0.013509545,-0.003935149
-0.032152426,-0.015723767
-0.028401517,-0.023842017
-0.009661836,-0.004111842
-0.019523005,-0.008108772
-0.009862142,-0.008242444
-0.00503212,-0.0042244
-0.007620479,-0.016884439
-0.010166559,-0.012803987
-0.014834298,-0.021041914
-0.00758223,-0.004333507
-0.00505757,-0.004352368
-0.002487562,-0.008704735
-0.01509636,-0.008667013
-0.009988312,-0.004302775
-0.015133627,-0.021959608
-0.002500272,-0.00448833
-0.010353095,-0.008926961
-0.012884044,-0.01364753
-0.007838375,-0.008956844
-0.002422583,-0.012819417
-0.009981089,-0.012819417
-0.009882451,-0.008438819
-0.00745955,-0.01693617
-0.002540489,-0.004242057
-0.007602154,-0.012899316
-0.002553463,-0.008732099
-0.002534051,-0.008582954
-0.01000632,-0.008570687
-0.005068103,-0.004242057
-0.007534755,-0.00434707
-0.005017771,-0.004242057
-0.00745955,-0.004242057
-0.007478407,-0.00436605
-0.004889213,-0.004170213
-0.004943867,-0.004219409
-0.004889213,-0.004219409
-0.009887733,-0.004273139
-0.009412688,-0.004000653
-0.009601109,-0.004065702
-0.004728598,-0.004065702
-0.004843592,-0.004065702
-0.009555709,-0.003920941
-0.004774219,-0.003985016
-0.004797122,-0.007921901
-0.004797122,-0.003985016
-0.009594244,-0.007921901
-0.00464082,-0.003803728
-0.004619382,-0.018318252
-0.004577096,-0.015010938
-0.009164777,-0.011188185
-0.013668723,-0.011230067
-0.004530867,-0.007496025
-0.013844112,-0.007496025
-0.014038462,-0.007628929
-0.004801097,-0.007687577
-0.009602195,-0.011588116
-0.0046811,-0.00388863
-0.004801097,-0.007699487
-0.004711539,-0.022469377
-0.009371075,-0.007699487
-0.000961538,-0.003825734
-0.009528393,-0.011965539
-0.009620056,-0.012110447
-0.009573542,-0.004020585
-0.01454794,-0.016147263
-0.004649839,-0.004004485
-0.009438459,-0.003956948
-0.004716073,-0.004004485
-0.004693936,-0.004048583
-0.004761905,-0.004016064
