stock returns of Hutchison (0013.HK),stock return of Cheung kong (0001.HK)
-0.069576666,-0.068831627
-0.046696419,-0.049406116
-0.009448473,-0.016383113
-0.028615794,-0.013837284
-0.042015892,-0.010786015
-0.046783626,-0.046349421
-0.067399025,-0.053744997
-0.057036578,-0.052366566
-0.035073409,-0.018301068
-0.012116089,-0.028017241
-0.028522533,-0.02405765
-0.00420826,-0.019765989
-0.007980698,-0.023383621
-0.036108513,-0.045459561
-0.008114559,-0.028688072
-0.010290364,-0.027379949
-0.031111469,-0.03280641
-0.044348947,-0.024175579
-0.015118221,-0.01420765
-0.043909348,-0.025086839
-0.021385942,-0.055819477
-0.043621887,-0.05
-0.03326171,-0.02327577
-0.034317212,-0.024175579
-0.035628798,-0.019751113
-0.10653938,-0.10610296
-0.03115942,-0.016700925
-0.022763367,-0.008614977
-0.009209101,-0.005748663
-0.035296532,-0.005469916
-0.022867475,-0.056875
-0.004571677,-0.017229954
-0.028212138,-0.026298045
-0.036232699,-0.048060942
-0.004571677,-0.009056709
-0.01256837,-0.044849144
-0.013561025,-0.003384095
-0.0276222,-0.016977929
-0.04648359,-0.030981067
-0.007719715,-0.021641372
-0.0174232,-0.022895798
-0.012442396,-0.011547041
-0.012715819,-0.014602416
-0.012432987,-0.020149156
-0.004307754,-0.023599523
-0.004295617,-0.018164661
-0.03623525,-0.00986879
-0.041839391,-0.03239325
-0.017354877,-0.025815536
-0.01319529,-0.005299928
-0.031269286,-0.02397675
-0.008504747,-0.007744661
-0.00438859,-0.005203406
-0.013066028,-0.005216979
-0.034022943,-0.024430872
-0.026984951,-0.022314888
-0.013023442,-0.014242555
-0.004345629,-0.014516661
-0.008830694,-0.014876592
-0.031131592,-0.027571216
-0.013932054,-0.020484607
-0.033039887,-0.036806883
-0.014331386,-0.018549747
-0.009730455,-0.018900344
-0.039191326,-0.019139355
-0.009826067,-0.013573544
-0.027965284,-0.028768426
-0.014440035,-0.009424725
-0.014651605,-0.008155196
-0.019997701,-0.01918525
-0.02556585,-0.002794361
-0.055120953,-0.030951471
-0.002456715,-0.002858628
-0.015362965,-0.017200938
-0.009562099,-0.008166748
-0.013970353,-0.013230695
-0.014168289,-0.010848367
-0.019089413,-0.016266174
-0.03657309,-0.019290993
-0.01946091,-0.0054815
-0.022247446,-0.016310392
-0.005107964,-0.011053888
-0.030111481,-0.01370375
-0.036141723,-0.022230643
-0.03693246,-0.043693595
-0.027652955,-0.009877652
-0.023225501,-0.004988097
-0.002654761,-0.01010217
-0.012849228,-0.002500284
-0.01301648,-0.015039307
-0.028004667,-0.041272287
-0.005186844,-0.005001111
-0.014168289,-0.023752969
-0.033783784,-0.024323134
-0.00476296,-0.009638554
-0.014579855,-0.009842955
-0.014795573,-0.019480519
-0.005044136,-0.009877652
-0.025118101,-0.017458338
-0.010309278,-0.015039307
-0.023841382,-0.023077815
-0.010841121,-0.015669516
-0.021687942,-0.023872361
-0.022042057,-0.043259186
-0.008373052,-0.005499878
-0.022733177,-0.035148089
-0.01728034,-0.011208763
-0.011730205,-0.013855649
-0.020441097,-0.0279924
-0.009060956,-0.008600469
-0.030202272,-0.046398528
-0.024033149,-0.04245348
-0.036827995,-0.02122674
-0.003222971,-0.00619631
-0.01925338,-0.028198951
-0.01963135,-0.016039662
-0.015191638,-0.015254472
-0.022352791,-0.022865263
-0.014572193,-0.008575884
-0.01746201,-0.011146295
-0.01721193,-0.026866035
-0.005828261,-0.015942891
-0.017426625,-0.022180917
-0.017128139,-0.016728625
-0.017426625,-0.005545054
-0.002933725,-0.008490686
-0.017787883,-0.017126789
-0.023965142,-0.002990897
-0.006258693,-0.005772763
-0.021491958,-0.022945776
-0.012611591,-0.002886382
-0.006314581,-0.014736842
-0.006354708,-0.014823718
-0.028111315,-0.017682766
-0.025726744,-0.009000537
-0.003250111,-0.018300122
-0.026063908,-0.003047091
-0.016197909,-0.018559557
-0.022747285,-0.015706072
-0.029884367,-0.038182077
-0.010301353,-0.009924456
-0.009832697,-0.006310475
-0.026233882,-0.015805814
-0.010301353,-0.028821336
-0.020506447,-0.026428466
-0.049167328,-0.043979375
-0.044041881,-0.046161168
-0.032242385,-0.034793414
-0.02963335,-0.014322498
-0.007591442,-0.010938776
-0.03287311,-0.036804309
-0.003738953,-0.003572538
-0.007366483,-0.013979497
-0.026142688,-0.028040328
-0.046068583,-0.05445705
-0.13146047,-0.10730202
-0.004420334,-0.008458647
-0.044601413,-0.050805687
-0.040521279,-0.039631156
-0.046901528,-0.045556691
-0.040619308,-0.031476569
-0.012153093,-0.011727639
-0.023920029,-0.007606491
-0.004023409,-0.007664793
-0.038283262,-0.036909449
-0.027847197,-0.019247147
-0.004072959,-0.007436787
-0.003865753,-0.00752131
-0.003776824,-0.003595946
-0.019300362,-0.011154856
-0.016468843,-0.006433167
-0.023532961,-0.016115108
-0.010093286,-0.0188732
-0.031052062,-0.048161869
-0.003667092,-0.020209581
-0.01317716,-0.020961282
-0.032477889,-0.024102839
-0.01333733,-0.006174534
-0.032760394,-0.044993324
-0.013204748,-0.009330406
-0.009529228,-0.014775105
-0.006461804,-0.002919708
-0.01618731,-0.023958472
-0.022917585,-0.021546434
-0.016802906,-0.021745152
-0.006928407,-0.009627637
-0.006834751,-0.012906927
-0.02345512,-0.025732666
-0.003387221,-0.006624466
-0.026674659,-0.02887777
-0.024018476,-0.019873399
-0.02106587,-0.010097965
-0.035811787,-0.024153846
-0.025302176,-0.023892333
-0.010912698,-0.020769231
-0.026245403,-0.031736057
-0.019055794,-0.025474607
-0.019373811,-0.033548174
