X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
76.8,193.0,90.3,345.0,17.2,182.0,14.8,21.0,34.1,1480.0,849.0,487.0
109.0,165.0,83.4,316.0,16.5,157.0,14.8,19.6,38.1,1550.0,917.0,566.0
88.4,179.0,95.4,294.0,16.5,167.0,15.3,19.6,38.9,1650.0,1060.0,625.0
67.3,170.0,97.2,331.0,17.2,154.0,15.3,18.6,38.9,1630.0,1060.0,625.0
60.1,137.0,85.1,313.0,17.9,152.0,12.9,19.2,40.6,1620.0,1010.0,629.0
60.1,140.0,85.1,269.0,19.4,141.0,12.4,18.6,56.5,1580.0,1010.0,629.0
61.5,143.0,97.2,264.0,19.4,147.0,16.8,18.0,37.2,1560.0,1010.0,645.0
65.4,142.0,112.0,284.0,39.2,163.0,20.0,17.0,37.2,1670.0,1150.0,758.0
78.6,145.0,120.0,297.0,33.4,238.0,22.4,17.0,40.6,1920.0,1310.0,807.0
84.4,150.0,124.0,313.0,50.2,265.0,19.5,17.0,57.2,2040.0,1380.0,803.0
148.0,170.0,179.0,335.0,65.9,254.0,19.5,18.2,72.4,2240.0,1580.0,796.0
80.5,186.0,165.0,419.0,58.5,269.0,16.3,18.0,50.8,1980.0,1260.0,654.0
66.4,152.0,132.0,364.0,32.4,244.0,15.3,17.5,44.1,1780.0,1050.0,578.0
79.6,161.0,169.0,349.0,33.4,236.0,17.9,17.5,42.4,1820.0,1100.0,667.0
78.6,176.0,165.0,394.0,28.7,255.0,18.9,17.5,44.1,1870.0,1170.0,720.0
52.0,149.0,135.0,389.0,25.2,244.0,20.6,17.5,41.5,1960.0,1220.0,635.0
42.5,126.0,108.0,335.0,23.5,216.0,13.8,18.0,34.9,1710.0,987.0,553.0
36.9,118.0,103.0,284.0,21.0,192.0,14.3,16.5,33.4,1550.0,899.0,550.0
33.6,107.0,106.0,257.0,15.8,170.0,15.3,15.6,32.6,1470.0,926.0,616.0
41.8,109.0,114.0,250.0,15.1,204.0,18.9,15.6,46.0,1560.0,1020.0,707.0
35.6,120.0,120.0,260.0,14.4,206.0,20.0,15.6,39.8,1740.0,1170.0,710.0
31.1,103.0,120.0,257.0,13.8,190.0,15.3,15.0,33.4,1620.0,1060.0,597.0
28.8,99.2,105.0,245.0,13.8,192.0,13.8,14.6,31.2,1470.0,926.0,575.0
29.9,91.7,92.0,228.0,13.8,177.0,12.9,14.0,31.2,1450.0,926.0,597.0
43.2,94.2,95.4,215.0,15.8,167.0,12.9,14.0,35.6,1440.0,950.0,641.0
46.0,104.0,124.0,221.0,18.6,173.0,12.0,13.0,39.8,1490.0,1030.0,670.0
128.0,164.0,239.0,294.0,24.4,238.0,14.3,13.0,57.2,1850.0,1230.0,700.0
105.0,308.0,209.0,599.0,23.5,319.0,33.3,13.0,64.0,2170.0,1470.0,625.0
128.0,274.0,184.0,557.0,30.6,349.0,23.0,12.1,88.4,2140.0,1360.0,603.0
77.3,270.0,169.0,560.0,20.2,344.0,16.8,12.4,60.6,2300.0,1290.0,535.0
52.9,195.0,135.0,479.0,17.2,309.0,17.9,12.4,39.8,2010.0,1040.0,461.0
39.0,170.0,103.0,391.0,15.8,269.0,18.4,12.0,32.6,1760.0,889.0,402.0
32.3,132.0,93.7,316.0,15.1,240.0,13.3,11.2,30.4,1540.0,803.0,376.0
31.7,128.0,85.1,279.0,14.4,202.0,8.06,11.0,29.0,1380.0,741.0,374.0
28.2,120.0,75.1,260.0,13.8,213.0,13.8,12.0,27.1,1320.0,741.0,369.0
27.0,111.0,75.1,238.0,13.8,214.0,12.0,12.0,30.4,1260.0,707.0,344.0
34.9,109.0,85.1,231.0,14.4,220.0,13.8,11.8,50.1,1280.0,745.0,405.0
37.6,126.0,92.0,238.0,15.1,218.0,12.4,12.0,32.6,1450.0,908.0,532.0
66.4,143.0,97.2,252.0,18.6,216.0,16.3,11.8,43.2,1570.0,1070.0,674.0
55.9,139.0,86.8,264.0,15.1,211.0,12.9,11.6,37.2,1680.0,1120.0,541.0
46.0,131.0,88.6,240.0,14.4,190.0,8.4,11.3,29.0,1400.0,885.0,430.0
50.3,126.0,93.7,257.0,21.8,199.0,14.8,11.0,51.9,1410.0,880.0,535.0
54.3,123.0,110.0,255.0,18.6,229.0,15.8,11.0,73.7,1900.0,1390.0,613.0
43.2,117.0,92.0,264.0,15.8,229.0,13.8,10.8,54.0,1690.0,1130.0,487.0
69.1,117.0,93.7,236.0,26.1,202.0,14.3,11.0,38.9,1490.0,931.0,472.0
103.0,135.0,139.0,277.0,37.2,251.0,21.8,10.0,58.4,1720.0,1120.0,635.0
79.6,162.0,157.0,325.0,43.2,283.0,27.6,10.0,66.3,1900.0,1320.0,707.0
55.9,142.0,126.0,318.0,41.2,288.0,14.3,10.3,48.8,1930.0,1210.0,587.0
46.7,125.0,124.0,292.0,44.2,261.0,15.3,10.8,39.8,1810.0,1080.0,560.0
51.1,117.0,124.0,282.0,44.2,267.0,15.8,9.8,36.4,1760.0,1090.0,578.0
64.5,121.0,124.0,282.0,45.2,290.0,17.3,10.0,52.9,1970.0,1320.0,810.0
54.3,129.0,124.0,289.0,39.2,294.0,31.9,10.0,46.9,2150.0,1460.0,720.0
104.0,129.0,163.0,301.0,42.2,294.0,25.6,10.0,67.5,1940.0,1240.0,625.0
162.0,165.0,186.0,352.0,55.4,302.0,28.3,10.4,78.8,2070.0,1340.0,609.0
102.0,221.0,143.0,439.0,48.2,307.0,27.6,12.0,85.6,2040.0,1300.0,547.0
77.7,171.0,149.0,374.0,48.2,298.0,23.0,12.0,82.9,1980.0,1190.0,499.0
89.4,161.0,189.0,359.0,59.6,290.0,19.5,11.6,72.4,2060.0,1280.0,572.0
102.0,165.0,182.0,404.0,54.3,298.0,18.4,10.2,71.2,2020.0,1270.0,556.0
79.6,173.0,161.0,406.0,44.2,300.0,18.4,10.2,59.5,1970.0,1180.0,511.0
61.9,148.0,124.0,361.0,30.6,277.0,20.0,10.2,44.1,1830.0,1050.0,490.0
48.1,139.0,114.0,323.0,28.7,277.0,15.3,10.0,40.6,1740.0,1000.0,505.0
70.2,168.0,118.0,321.0,25.2,263.0,14.8,10.0,43.2,1710.0,1020.0,529.0
93.4,307.0,167.0,439.0,30.6,249.0,24.3,10.8,70.0,1860.0,1220.0,641.0
70.9,326.0,134.0,531.0,28.7,267.0,36.5,10.8,66.3,1960.0,1200.0,550.0
48.1,241.0,120.0,466.0,26.1,277.0,24.3,10.0,48.8,2010.0,1100.0,478.0
40.4,190.0,112.0,389.0,22.7,273.0,20.6,10.0,41.5,1860.0,950.0,449.0
110.0,198.0,118.0,359.0,46.2,253.0,20.6,10.0,48.8,1780.0,1010.0,517.0
87.8,265.0,128.0,421.0,41.2,288.0,15.3,9.8,45.0,1870.0,1140.0,535.0
66.6,228.0,132.0,444.0,35.3,288.0,13.3,10.0,133.0,1800.0,1020.0,490.0
230.0,255.0,198.0,416.0,61.7,275.0,20.6,10.0,95.5,1960.0,1220.0,700.0
140.0,353.0,209.0,604.0,48.2,304.0,19.5,10.8,64.0,2250.0,1420.0,603.0
87.3,265.0,145.0,534.0,36.2,307.0,18.4,11.6,46.9,2080.0,1190.0,526.0
81.9,215.0,130.0,444.0,29.7,298.0,18.4,10.0,43.3,2050.0,1060.0,508.0
250.0,242.0,179.0,416.0,59.6,288.0,20.6,11.0,222.0,2370.0,1580.0,741.0
154.0,393.0,232.0,607.0,54.3,300.0,29.7,11.0,116.0,2840.0,2040.0,616.0
95.5,308.0,179.0,596.0,50.2,286.0,22.4,12.0,78.8,2230.0,1310.0,529.0
74.2,270.0,139.0,504.0,39.2,275.0,23.0,12.8,77.5,2280.0,1260.0,490.0
60.0,235.0,134.0,436.0,28.7,265.0,20.6,12.0,59.5,2090.0,1130.0,446.0
49.4,202.0,128.0,394.0,23.5,253.0,18.4,11.8,45.0,1880.0,1020.0,427.0
210.0,210.0,186.0,381.0,54.3,247.0,22.4,14.2,85.6,1910.0,1090.0,578.0
156.0,359.0,225.0,565.0,51.3,281.0,47.8,22.1,75.0,2500.0,1740.0,680.0
95.8,265.0,151.0,524.0,40.2,304.0,29.7,23.0,71.2,2240.0,1380.0,529.0
73.7,232.0,137.0,446.0,35.3,299.0,26.9,17.0,70.0,2350.0,1380.0,469.0
55.9,207.0,128.0,409.0,30.6,265.0,24.9,15.0,48.8,2030.0,1160.0,452.0
46.0,162.0,126.0,374.0,28.7,251.0,22.4,13.0,43.2,1850.0,1070.0,449.0
41.1,158.0,126.0,349.0,27.8,253.0,21.2,12.6,39.8,1740.0,1030.0,452.0
37.1,149.0,101.0,335.0,25.2,220.0,20.6,11.0,34.1,1650.0,1020.0,449.0
32.1,143.0,71.9,309.0,20.2,189.0,20.0,11.0,31.9,1600.0,992.0,430.0
28.1,111.0,60.9,262.0,17.9,177.0,14.3,10.5,29.0,1470.0,922.0,421.0
37.1,121.0,73.5,233.0,15.8,177.0,12.9,10.5,28.4,1420.0,922.0,464.0
34.5,128.0,73.5,255.0,15.1,180.0,21.8,10.0,33.4,1410.0,950.0,418.0
51.1,132.0,78.3,252.0,16.5,189.0,21.2,10.0,52.9,1440.0,992.0,413.0
56.0,195.0,123.0,419.0,21.4,244.0,30.5,46.0,57.9,1860.0,944.0,390.0
55.1,193.0,125.0,376.0,16.9,218.0,26.3,36.0,53.2,1800.0,933.0,405.0
58.4,187.0,123.0,381.0,17.8,233.0,29.7,35.0,66.8,1820.0,1040.0,455.0
75.7,179.0,125.0,374.0,29.9,228.0,55.3,47.0,70.0,2250.0,1280.0,458.0
69.1,207.0,121.0,401.0,20.5,253.0,116.0,76.2,60.6,2080.0,1090.0,405.0
61.9,189.0,123.0,409.0,18.7,240.0,80.3,87.0,55.0,2030.0,984.0,408.0
84.4,184.0,119.0,394.0,27.0,230.0,58.2,88.3,62.6,2060.0,1020.0,487.0
158.0,219.0,123.0,421.0,47.0,240.0,66.1,83.4,149.0,2330.0,1400.0,584.0
129.0,286.0,123.0,461.0,34.9,244.0,72.5,68.3,94.8,2600.0,1570.0,597.0
